АБАЖУР 	Колпак для лампы, светильника
АНАХРОНИЗМ 	Пережиток старины
АНАША 	Наркотик из индийской конопли
АНГЕЛ 	В религии: служитель Бога, исполнитель его воли и его посланец к людям (изображаемый обычно крылатым отроком, юношей)
АНГИНА 	Острое инфекционное заболевание - воспаление небных миндалин, слизистой оболочки зева
АНГЛИКАНСТВО 	То же, что англиканская церковь
АНГЛИЦИЗМ 	Слово или оборот речи в каком-н. языке, заимствованные из английского языка или созданные по образцу английского слова или выражения
АНГЛИЧАНЕ 	Народ, составляющий основное население Англии (шире - вообще Великобритании)
АНГЛОМАН 	Человек, испытывающий пристрастие
АНГЛОФОБ 	Человек, ненавидящий все английское
АНЕКДОТ 	Очень маленький рассказ с забавным,
АНЕМИЯ 	То же, что малокровие
АНЕСТЕЗИОЛОГ 	Врач -специалист по анестезиологии
АНЕСТЕЗИОЛОГИЯ 	Раздел медицины, занимающийся обезболиванием
АНЕСТЕЗИЯ 	Потеря, ослабление чувствительности
АНИЛИН 	Органическое соединение - маслянистая жидкость, употр. при производстве красителей, лекарств, пластмасс, взрывчатых веществ
АНИМАЛИСТ 	Художник, изображающий животных
АНИМАТОР 	Художник, создающий мультфильмы
АНИМИЗМ 	Религиозное представление о независимом существовании духа, души у каждого человека, животного, растения (в первобытных религиях также у каждой вещи) и о возможности свободного общения человека со своим духом, душой А. первобытных народов
АНИС 	Однолетнее травянистое зонтичное растение с пахучими сладковато-пряными семенами, содержащими маслянистые вещества, используемые в медицине, парфюмерии, пищевой промышленности
АНКЕТА 	Опросный лист для получения каких-н. сведений о том, кто его заполняет
АНКЛАВ 	Часть территории государства, со всех сторон окруженная территорией других государств и не имеющая выхода к морю
АННЕКСИЯ 	Насильственное присоединение государства или части его к другому государству
АННОТАЦИЯ 	Краткое изложение содержания книги, статьи и т. п
АНОД 	Положительный электрод; противоп. катод
АНОМАЛИЯ 	Отклонение от нормы, общей закономерности; неправильность
АНОНИМ 	Автор, скрывший свое имя, а также (устар.) сочинение без указания имени автора
АНОНИМКА 	Анонимное письмо, сообщающее о ком-н. что-н. обидное, неприятное, компрометирующее
АНОНИМЩИК 	Тот, кто пишет анонимные письма, анонимки
АНСАМБЛЬ 	Согласованность, стройность частей единого целого, а также само такое целое
АНТАГОНИЗМ 	Непримиримое противоречие
АНТАГОНИСТ 	Непримиримый противник
АНТИБИОТИКИ 	Биологически активные вещества микробного, животного, растительного происхождения (а также синтезированные), могущие подавлять жизнеспособность микроорганизмов
АНТИКВАР 	Любитель или продавец антикварных предметов
АНТИКОММУНИЗМ 	Идеология и I политика, направленная против коммунизма
